subj,spec,work,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10,i11,i12,i13,i14
1,25,5,1,1,0,0,1,1,0,0,1,0,0,0,0,0
2,7,3,0,1,0,0,0,0,1,0,0,0,1,0,0,0
3,10,8,1,1,0,1,0,0,0,0,0,0,0,0,1,1
4,25,7,1,1,0,0,0,1,0,1,1,0,0,0,0,0
5,22,8,1,1,0,0,0,1,0,0,0,0,1,0,0,0
6,8,8,1,1,0,1,1,1,0,0,0,0,0,0,0,0
7,7,8,0,0,0,1,0,0,0,0,1,0,0,0,1,0
8,7,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9,5,8,1,1,0,0,1,1,0,0,1,0,0,0,0,0
10,22,8,0,1,1,0,0,0,0,0,1,0,1,0,0,0
11,22,8,1,1,0,1,0,1,0,0,1,0,0,0,0,0
12,4,2,1,0,1,0,0,0,0,1,0,1,0,0,1,0
13,4,8,1,1,0,0,0,0,0,0,1,0,0,0,0,0
14,8,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0
15,23,8,0,1,0,0,1,1,0,0,1,0,1,0,0,0
16,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,25,8,1,1,1,0,0,0,1,0,0,0,0,0,0,1
18,25,8,1,1,0,0,0,0,0,0,0,0,0,0,1,0
19,25,7,1,1,0,0,0,1,0,1,1,0,0,0,0,0
20,25,8,0,1,0,0,0,0,0,0,1,0,0,0,1,0
21,16,8,0,1,1,1,0,0,1,0,0,0,0,1,0,0
22,22,8,0,0,0,0,0,0,1,0,1,0,1,0,1,1
23,7,8,0,1,0,0,0,0,0,0,0,0,0,1,1,0
24,25,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1
25,18,2,1,1,0,1,0,0,0,1,1,0,0,0,0,0
26,22,7,1,1,0,0,0,1,0,0,1,0,0,0,0,1
27,22,8,1,1,0,0,0,1,1,0,1,0,0,0,0,0
28,25,4,0,1,0,1,0,0,0,1,0,0,1,0,0,1
29,25,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0
30,7,8,1,1,0,0,0,0,0,1,0,1,0,0,1,0
31,18,8,0,0,1,0,0,1,1,0,0,0,0,0,1,1
32,25,8,1,0,0,1,1,1,0,0,1,0,0,0,0,0
33,22,8,1,1,1,0,0,0,0,0,0,1,0,0,0,1
34,4,8,1,1,0,0,0,1,0,0,1,1,0,0,0,0
35,5,2,1,1,0,1,0,0,0,1,0,0,0,1,0,0
